NAME,median_household_income,state,county,tract
Census Tract 1.01; Milwaukee County; Wisconsin,28487.0,55,079,000101
Census Tract 1.02; Milwaukee County; Wisconsin,47844.0,55,079,000102
Census Tract 2.01; Milwaukee County; Wisconsin,43241.0,55,079,000201
Census Tract 2.02; Milwaukee County; Wisconsin,90284.0,55,079,000202
Census Tract 3.01; Milwaukee County; Wisconsin,86094.0,55,079,000301
Census Tract 3.02; Milwaukee County; Wisconsin,40651.0,55,079,000302
Census Tract 3.03; Milwaukee County; Wisconsin,67500.0,55,079,000303
Census Tract 3.04; Milwaukee County; Wisconsin,102336.0,55,079,000304
Census Tract 4; Milwaukee County; Wisconsin,51543.0,55,079,000400
Census Tract 5.01; Milwaukee County; Wisconsin,67054.0,55,079,000501
Census Tract 5.02; Milwaukee County; Wisconsin,48914.0,55,079,000502
Census Tract 6; Milwaukee County; Wisconsin,56541.0,55,079,000600
Census Tract 7; Milwaukee County; Wisconsin,55813.0,55,079,000700
Census Tract 8; Milwaukee County; Wisconsin,61611.0,55,079,000800
Census Tract 9; Milwaukee County; Wisconsin,44193.0,55,079,000900
Census Tract 10; Milwaukee County; Wisconsin,53214.0,55,079,001000
Census Tract 11; Milwaukee County; Wisconsin,35221.0,55,079,001100
Census Tract 12; Milwaukee County; Wisconsin,34083.0,55,079,001200
Census Tract 13; Milwaukee County; Wisconsin,52049.0,55,079,001300
Census Tract 14; Milwaukee County; Wisconsin,47457.0,55,079,001400
Census Tract 15; Milwaukee County; Wisconsin,46884.0,55,079,001500
Census Tract 16; Milwaukee County; Wisconsin,39481.0,55,079,001600
Census Tract 17; Milwaukee County; Wisconsin,41429.0,55,079,001700
Census Tract 18; Milwaukee County; Wisconsin,40781.0,55,079,001800
Census Tract 19; Milwaukee County; Wisconsin,32302.0,55,079,001900
Census Tract 20; Milwaukee County; Wisconsin,41850.0,55,079,002000
Census Tract 21; Milwaukee County; Wisconsin,31431.0,55,079,002100
Census Tract 22; Milwaukee County; Wisconsin,63239.0,55,079,002200
Census Tract 23; Milwaukee County; Wisconsin,41321.0,55,079,002300
Census Tract 24; Milwaukee County; Wisconsin,35588.0,55,079,002400
Census Tract 25; Milwaukee County; Wisconsin,35483.0,55,079,002500
Census Tract 26; Milwaukee County; Wisconsin,31418.0,55,079,002600
Census Tract 27; Milwaukee County; Wisconsin,37231.0,55,079,002700
Census Tract 28; Milwaukee County; Wisconsin,40625.0,55,079,002800
Census Tract 29; Milwaukee County; Wisconsin,45865.0,55,079,002900
Census Tract 30; Milwaukee County; Wisconsin,71250.0,55,079,003000
Census Tract 31; Milwaukee County; Wisconsin,44958.0,55,079,003100
Census Tract 32; Milwaukee County; Wisconsin,56811.0,55,079,003200
Census Tract 33; Milwaukee County; Wisconsin,56888.0,55,079,003300
Census Tract 34; Milwaukee County; Wisconsin,62106.0,55,079,003400
Census Tract 35; Milwaukee County; Wisconsin,72589.0,55,079,003500
Census Tract 36; Milwaukee County; Wisconsin,62721.0,55,079,003600
Census Tract 37; Milwaukee County; Wisconsin,55938.0,55,079,003700
Census Tract 38; Milwaukee County; Wisconsin,48216.0,55,079,003800
Census Tract 39; Milwaukee County; Wisconsin,31996.0,55,079,003900
Census Tract 40; Milwaukee County; Wisconsin,37745.0,55,079,004000
Census Tract 41; Milwaukee County; Wisconsin,51250.0,55,079,004100
Census Tract 42; Milwaukee County; Wisconsin,42833.0,55,079,004200
