NAME,total_population,hispanic_or_latino_population,non_hispanic_white_population,percent_non_hispanic_white,state,county,tract
Census Tract 1.01; Milwaukee County; Wisconsin,4462.0,100.0,0.0,0.0,55,079,000101
Census Tract 1.02; Milwaukee County; Wisconsin,3705.0,0.0,19.0,0.5,55,079,000102
Census Tract 2.01; Milwaukee County; Wisconsin,5468.0,0.0,0.0,0.0,55,079,000201
Census Tract 2.02; Milwaukee County; Wisconsin,5643.0,0.0,131.0,2.3,55,079,000202
Census Tract 3.01; Milwaukee County; Wisconsin,1262.0,1.0,27.0,2.1,55,079,000301
Census Tract 3.02; Milwaukee County; Wisconsin,2878.0,0.0,0.0,0.0,55,079,000302
Census Tract 3.03; Milwaukee County; Wisconsin,1935.0,0.0,4.0,0.2,55,079,000303
Census Tract 3.04; Milwaukee County; Wisconsin,3997.0,2.0,6.0,0.2,55,079,000304
Census Tract 4; Milwaukee County; Wisconsin,2970.0,12.0,0.0,0.0,55,079,000400
Census Tract 5.01; Milwaukee County; Wisconsin,3841.0,35.0,105.0,2.7,55,079,000501
Census Tract 5.02; Milwaukee County; Wisconsin,5261.0,20.0,177.0,3.4,55,079,000502
Census Tract 6; Milwaukee County; Wisconsin,5437.0,22.0,288.0,5.3,55,079,000600
Census Tract 7; Milwaukee County; Wisconsin,3932.0,0.0,10.0,0.3,55,079,000700
Census Tract 8; Milwaukee County; Wisconsin,4615.0,0.0,1.0,0.0,55,079,000800
Census Tract 9; Milwaukee County; Wisconsin,4518.0,0.0,19.0,0.4,55,079,000900
Census Tract 10; Milwaukee County; Wisconsin,3626.0,0.0,117.0,3.2,55,079,001000
Census Tract 11; Milwaukee County; Wisconsin,2401.0,0.0,132.0,5.5,55,079,001100
Census Tract 12; Milwaukee County; Wisconsin,3088.0,0.0,0.0,0.0,55,079,001200
Census Tract 13; Milwaukee County; Wisconsin,4404.0,0.0,1.0,0.0,55,079,001300
Census Tract 14; Milwaukee County; Wisconsin,2784.0,0.0,20.0,0.7,55,079,001400
Census Tract 15; Milwaukee County; Wisconsin,2883.0,0.0,78.0,2.7,55,079,001500
Census Tract 16; Milwaukee County; Wisconsin,2457.0,0.0,0.0,0.0,55,079,001600
Census Tract 17; Milwaukee County; Wisconsin,3993.0,0.0,0.0,0.0,55,079,001700
Census Tract 18; Milwaukee County; Wisconsin,2541.0,0.0,0.0,0.0,55,079,001800
Census Tract 19; Milwaukee County; Wisconsin,3552.0,0.0,0.0,0.0,55,079,001900
Census Tract 20; Milwaukee County; Wisconsin,2410.0,19.0,36.0,1.5,55,079,002000
Census Tract 21; Milwaukee County; Wisconsin,2018.0,0.0,0.0,0.0,55,079,002100
Census Tract 22; Milwaukee County; Wisconsin,1927.0,27.0,203.0,10.5,55,079,002200
Census Tract 23; Milwaukee County; Wisconsin,4077.0,0.0,13.0,0.3,55,079,002300
Census Tract 24; Milwaukee County; Wisconsin,2482.0,0.0,121.0,4.9,55,079,002400
Census Tract 25; Milwaukee County; Wisconsin,1961.0,1.0,2.0,0.1,55,079,002500
Census Tract 26; Milwaukee County; Wisconsin,1975.0,66.0,192.0,9.7,55,079,002600
Census Tract 27; Milwaukee County; Wisconsin,2117.0,0.0,3.0,0.1,55,079,002700
Census Tract 28; Milwaukee County; Wisconsin,2311.0,6.0,9.0,0.4,55,079,002800
Census Tract 29; Milwaukee County; Wisconsin,2380.0,0.0,0.0,0.0,55,079,002900
Census Tract 30; Milwaukee County; Wisconsin,3652.0,0.0,90.0,2.5,55,079,003000
Census Tract 31; Milwaukee County; Wisconsin,3851.0,0.0,7.0,0.2,55,079,003100
Census Tract 32; Milwaukee County; Wisconsin,2801.0,0.0,16.0,0.6,55,079,003200
Census Tract 33; Milwaukee County; Wisconsin,4755.0,18.0,8.0,0.2,55,079,003300
Census Tract 34; Milwaukee County; Wisconsin,5383.0,0.0,16.0,0.3,55,079,003400
Census Tract 35; Milwaukee County; Wisconsin,3706.0,15.0,54.0,1.5,55,079,003500
Census Tract 36; Milwaukee County; Wisconsin,1596.0,0.0,0.0,0.0,55,079,003600
Census Tract 37; Milwaukee County; Wisconsin,2393.0,0.0,11.0,0.5,55,079,003700
Census Tract 38; Milwaukee County; Wisconsin,2410.0,0.0,68.0,2.8,55,079,003800
Census Tract 39; Milwaukee County; Wisconsin,2393.0,3.0,0.0,0.0,55,079,003900
Census Tract 40; Milwaukee County; Wisconsin,2427.0,12.0,1.0,0.0,55,079,004000
Census Tract 41; Milwaukee County; Wisconsin,3130.0,0.0,377.0,12.0,55,079,004100
Census Tract 42; Milwaukee County; Wisconsin,2739.0,0.0,2.0,0.1,55,079,004200
Census Tract 43; Milwaukee County; Wisconsin,4726.0,0.0,0.0,0.0,55,079,004300
Census Tract 44; Milwaukee County; Wisconsin,2134.0,0.0,103.0,4.8,55,079,004400
Census Tract 45; Milwaukee County; Wisconsin,1743.0,1.0,0.0,0.0,55,079,004500
Census Tract 46; Milwaukee County; Wisconsin,2876.0,0.0,0.0,0.0,55,079,004600
Census Tract 47; Milwaukee County; Wisconsin,3640.0,0.0,0.0,0.0,55,079,004700
Census Tract 48; Milwaukee County; Wisconsin,3256.0,0.0,0.0,0.0,55,079,004800
Census Tract 49; Milwaukee County; Wisconsin,3415.0,0.0,0.0,0.0,55,079,004900
