mukey,musym,muname,area_acres,polygon_count,area_pct
3403319,NOTCOM,No Digital Data Available,35420.27777147357,11,6.608760268275536
425730,7744C2,"Hochheim loam, 6 to 12 percent slopes, eroded",9539.889657735039,1000,1.7799646897334063
425455,7029A,"Houghton mucky peat, 0 to 2 percent slopes",9283.083929021304,217,1.7320495517568286
3403309,7532B,"Ozaukee silt loam, high carbonate substratum, 2 to 6 percent slopes",9155.971468758997,254,1.7083327479981394
423936,7845B,"Theresa silt loam, 2 to 6 percent slopes",8733.468339348969,251,1.6295015792285978
425980,7314B2,"Kewaunee silt loam, 2 to 6 percent slopes, eroded",8194.137343780121,268,1.5288725192883772
423886,7844B2,"Hochheim silt loam, 2 to 6 percent slopes, eroded",8036.72183750658,343,1.4995017348415962
425969,7744B2,"Hochheim loam, 2 to 6 percent slopes, eroded",8001.519402164105,416,1.4929336198895093
425739,7029A,"Houghton mucky peat, 0 to 2 percent slopes",7946.581752431677,334,1.4826832836519852
423887,7844C2,"Hochheim silt loam, 6 to 12 percent slopes, eroded",7876.822965922694,491,1.4696676009512986
3403306,7538B,"Mequon silt loam, 1 to 3 percent slopes",6927.109844207673,233,1.29246892437556
423877,7327B,"Fox silt loam, 2 to 6 percent slopes",6803.271917052834,367,1.269363087149585
425764,7022A,"Palms mucky peat, 0 to 2 percent slopes",5723.934193107952,317,1.0679788881865078
425728,7744B,"Hochheim loam, 2 to 6 percent slopes",5585.706618033063,391,1.042188212234477
425440,7327B,"Fox silt loam, 2 to 6 percent slopes",5554.666405632031,607,1.0363966901081318
