gage_id,wetland_effectiveness,runoff_propensity,wetland_storage_capacity,notes
04086110,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04086120,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04086125,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04086139,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04086149,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04086152,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04086175,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04086200,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04086250,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04086265,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04086305,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
040863075,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04086340,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04086360,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04086443,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04086500,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04086600,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
040869415,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
040869416,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04087000,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04087030,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04087047,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04087048,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04087050,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04087060,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04087070,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
0408708567,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
040870860,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04087087,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
040870876,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04087088,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04087119,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04087120,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04087142,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
040871472,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
040871473,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
040871475,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
040871476,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
040871478,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
040871482,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
04087159,,,,"Fill wetland_effectiveness and runoff_propensity, then rerun with --covariates path/to/this.csv"
