outcome,model,n,P_mix_b,P_mix_p,P_ols_b,P_ols_p,W_mix_b,W_mix_p,W_ols_b,W_ols_p,WP_mix_b,WP_mix_p,WP_ols_b,WP_ols_p,S_mix_b,S_mix_p,S_ols_b,S_ols_p,WS_mix_b,WS_mix_p,WS_ols_b,WS_ols_p,mix_aic
log_Qp,M1_basic,2685,0.4207,0.0,0.3994,0.0,0.0444,0.8894,-0.2086,0.1243,,,,,,,,,,,,,4500.6
log_Qp,M2_peakshave,2685,0.4131,0.0,0.4133,0.0,-0.0198,0.7726,-0.029,0.7127,-0.1534,0.0,-0.1526,0.0,,,,,,,,,4318.5
log_Qp,M3_saturation,2685,0.4131,0.0,0.4123,0.0,-0.0255,0.7043,-0.0291,0.7062,-0.1529,0.0,-0.1527,0.0,0.0001,0.9977,0.0013,0.9654,,,,,4320.0
log_Qp,M4_nonlinsat,2685,0.5248,0.0,0.5228,0.0,-0.0723,0.3376,-0.0731,0.1939,-0.1129,0.0,-0.1133,0.0,-0.1642,0.067,-0.1615,0.0202,-0.0675,0.0412,-0.067,0.0061,4317.9
rb_flashiness,M1_basic,2685,-0.0461,0.0,-0.0432,0.0001,-0.0223,0.7634,-0.1038,0.0337,,,,,,,,,,,,,-2403.9
rb_flashiness,M2_peakshave,2685,-0.0462,0.0,-0.0434,0.0005,-0.0047,0.9518,-0.1065,0.0202,-0.0094,0.0047,0.0023,0.8069,,,,,,,,,-2409.9
rb_flashiness,M3_saturation,2685,-0.0631,0.1361,-0.0932,0.0,-0.0079,0.9172,-0.115,0.009,-0.0095,0.0044,-0.0055,0.5584,0.0243,0.6892,0.0679,0.0,,,,,-2408.0
rb_flashiness,M4_nonlinsat,2685,-0.0173,0.4782,-0.0233,0.1523,-0.1368,0.0,-0.1428,0.0,0.0203,0.0189,0.0194,0.0082,-0.0435,0.2144,-0.0351,0.1742,-0.0437,0.0005,-0.0424,0.0022,-2412.4
hydro_width_hr,M1_basic,2685,0.2675,0.0,0.3377,0.0002,1.3436,0.0334,1.7937,0.0,,,,,,,,,,,,,5630.7
hydro_width_hr,M2_peakshave,2685,0.2718,0.0,0.316,0.0,1.1681,0.0264,1.5131,0.0,0.1379,0.0,0.2383,0.0,,,,,,,,,5545.0
hydro_width_hr,M3_saturation,2685,-0.3824,0.0105,-0.2406,0.0704,1.2951,0.0,1.4188,0.0,0.138,0.0,0.1506,0.0001,0.9499,0.0,0.7586,0.0,,,,,5537.0
hydro_width_hr,M4_nonlinsat,2685,-0.4196,0.1145,-0.1727,0.1746,1.3317,0.0001,1.3917,0.0,0.123,0.1667,0.1749,0.0,1.0037,0.0087,0.6585,0.0001,0.0221,0.8635,-0.0412,0.3791,5539.0
