outcome,model,n,P_mix_b,P_mix_p,P_ols_b,P_ols_p,W_mix_b,W_mix_p,W_ols_b,W_ols_p,WP_mix_b,WP_mix_p,WP_ols_b,WP_ols_p,S_mix_b,S_mix_p,S_ols_b,S_ols_p,WS_mix_b,WS_mix_p,WS_ols_b,WS_ols_p,mix_aic
log_Qp,M1_basic,5907,0.9606,0.0,0.9602,0.0,-0.2863,0.0434,-0.4468,0.0,,,,,,,,,,,,,15066.5
log_Qp,M2_peakshave,5907,0.9091,0.0,0.909,0.0,-0.1254,0.3506,-0.2774,0.0,-0.2333,0.0,-0.2328,0.0,,,,,,,,,14706.6
log_Qp,M3_saturation,5907,1.2234,0.0,1.1392,0.0,-0.1179,0.1775,-0.183,0.0004,-0.2335,0.0,-0.2329,0.0,-0.4594,0.003,-0.3366,0.0002,,,,,14702.2
log_Qp,M4_nonlinsat,5907,0.6624,0.1755,1.2599,0.0,0.5435,0.3437,-0.3347,0.195,-0.5516,0.0425,-0.1626,0.1224,0.36,0.6141,-0.5133,0.0589,0.4643,0.2416,-0.1023,0.5113,14702.6
rb_flashiness,M1_basic,5907,0.0027,0.0,0.0024,0.1768,0.013,0.3018,0.0016,0.7009,,,,,,,,,,,,,-26233.7
rb_flashiness,M2_peakshave,5907,0.0018,0.0,0.0015,0.0673,0.0156,0.2035,0.0046,0.3514,-0.0039,0.0,-0.0041,0.0025,,,,,,,,,-26341.8
rb_flashiness,M3_saturation,5907,0.0127,0.4278,-0.0023,0.1124,0.0168,0.1656,0.0031,0.5037,-0.0039,0.0,-0.0041,0.0027,-0.0158,0.4975,0.0056,0.0057,,,,,-26340.3
rb_flashiness,M4_nonlinsat,5907,-0.1045,0.0199,0.0045,0.7545,0.1417,0.0028,-0.0056,0.7783,-0.0669,0.0042,-0.0001,0.9872,0.1551,0.0179,-0.0044,0.835,0.0919,0.0071,-0.0058,0.6377,-26343.8
hydro_width_hr,M1_basic,5907,0.1709,0.0,0.1717,0.0,0.2121,0.5813,0.5052,0.0115,,,,,,,,,,,,,16251.3
hydro_width_hr,M2_peakshave,5907,0.1884,0.0,0.1911,0.0,0.1589,0.6753,0.4407,0.0403,0.079,0.0,0.0886,0.0036,,,,,,,,,16220.2
hydro_width_hr,M3_saturation,5907,-0.2871,0.55,0.112,0.3126,0.1056,0.7726,0.4082,0.1234,0.079,0.0,0.0887,0.0036,0.6935,0.3219,0.1157,0.5385,,,,,16221.3
hydro_width_hr,M4_nonlinsat,5907,1.8485,0.2714,-2.1782,0.0,-2.1809,0.2197,3.2875,0.0,1.2299,0.1604,-1.2463,0.0,-2.4219,0.3233,3.4695,0.0,-1.6788,0.189,1.9424,0.0,16221.7
